# start: 1905 10, end: 2006 12, frequency: 12
BlueMesa	Crystal	Navajo	Fontenelle	FlamingGorge	LeesFerry
23006	24106	12210	34900	49863	328283
28900	31400	20545	43900	49967	361418
26400	34400	19277	39800	54034	348931
25400	27800	15789	25300	26757	264952
21100	23500	12391	21500	27674	244498
18300	21300	16158	20300	27334	318919
29800	34400	45364	30500	63930	368225
47200	57200	127358	50200	81524	637529
173005	204205	251066	71800	97675	1642974
198559	224959	153050	210100	284210	2528584
69261	70661	44497	87100	126976	956734
69200	71800	55769	52100	76816	718990
61400	66600	54697	42100	60251	856024
63500	69500	50386	42500	64166	819598
46100	51700	36120	31700	54458	547420
32100	36200	17921	27900	44587	370764
30300	32900	17412	32000	43343	334494
28900	32900	43950	32600	84494	774737
30300	33700	44474	38600	150560	545028
184600	219800	236126	182000	388462	2532520
328505	383905	256844	262300	407112	4119768
355148	398248	221001	386700	520292	3849168
196737	215937	101547	279500	388209	2550866
79994	82994	22084	133300	182966	912852
31942	36842	10846	49100	63658	412135
36100	40600	36193	44300	49180	555007
30200	35600	25875	41600	46555	448064
23900	28000	18953	24000	33300	342970
21500	23300	15119	18000	23390	201557
24300	27400	36791	19900	39062	370712
45700	56600	71658	40100	53996	575260
69000	79100	122090	49400	72556	763590
160900	181700	186119	108300	135805	1808387
112963	120063	59466	349700	417763	1839152
71425	70725	29157	190700	250993	933748
59000	58800	27320	92200	127789	685572
39200	41900	36512	83200	102308	735431
25800	26200	13970	51800	65590	319363
30600	31100	10448	42000	52847	342117
22300	22100	4270	27000	32687	266011
18500	20500	5455	19000	26238	267885
19400	20100	7546	20000	29583	262479
22000	25200	18200	28000	41507	343862
50300	69400	65573	55000	131737	649129
219668	280568	201964	133000	312937	2354779
229819	274719	97635	353200	532497	2984535
118508	127208	46303	345300	450539	1729449
85857	86657	78526	101600	141532	915192
36393	37693	23790	45700	56879	366401
24730	28630	14928	29000	29297	301361
29800	32000	13678	34000	28918	325117
27900	30500	15838	34000	38965	363397
28000	30900	23008	36000	38964	379725
22300	24700	23391	29000	57864	369167
28800	30800	40940	33000	62862	443493
92500	118500	254733	116000	192824	1400634
265994	331394	363431	195000	395811	3392487
452955	527455	452076	605500	1016379	5596742
339898	381498	272375	475700	675320	3793601
148244	155444	69368	198300	290475	1623391
86500	91600	61778	103900	129292	877286
56900	67990	49420	99000	120497	875445
45100	50230	31873	72000	77856	570571
40300	42400	35963	53000	46664	552485
33900	37450	24490	53000	48342	455182
31200	32460	21491	42000	41523	395360
47000	54480	161149	46000	109330	981129
88800	113920	191563	108000	191877	1333026
196005	244245	312191	147000	266111	2523296
167164	181364	173049	176300	244505	1934274
94089	96659	59750	141500	193163	1053979
60256	57916	35946	82100	95535	589839
20827	21977	10169	49700	51469	357643
28750	33370	7423	36400	46068	335665
28100	32010	13073	38000	40665	349297
27700	32930	35080	33000	26993	371154
22200	28150	11312	30000	23316	289340
21100	25290	20758	31000	33317	307306
41100	46850	53957	44000	78583	576121
52700	57730	52015	72000	100444	604735
159123	176603	151551	145000	248982	1690771
214610	228600	154660	481200	705391	3628249
111159	111339	73126	465700	607661	2187199
62238	62838	88042	133700	177223	951241
41453	45003	44463	63500	72300	517396
27667	30347	12287	54800	48931	351908
